2,"The Upscale Way to Prepare for Doomsday-from $79,500 Teslas to $275 Jeans",the-wall-street-journal,"Rather than stockpile beans, ""bonus preppers"" ready themselves for the apocalypse with the finer things: luxury cars, chic water filters, cunning energy systems and fashion fit for Armageddon.",,,
4,AT&T's Colossal Flub Still Leaves CEO With More Wins Than Losses,bloomberg,AT&T Inc. made an embarrassing lobbying gaffe by hiring President Donald Trump's personal attorney for help with its $85 billion takeover of Time Warner Inc.,,,
8,NRA Accuses New York State Officials of 'Blacklisting Campaign',bloomberg,"The National Rifle Association sued New York state officials over what it described as a ""blacklisting campaign"" targeting companies that try to do business with the group.",,,
5,Trump California Immigration Crackdown Ends With Surprise Payday,bloomberg,"The U.S. Department of Homeland Security, known for its raids ending in mass deportations of undocumented immigrants, says it's helping five ""illegal aliens"" recover $250,000 in back pay from a California building contractor.",,,
1,"Hayley Kiyoko Just Criticized Rita Ora's New ""Girls"" Song As Tone-Deaf To The LGBT Community",buzzfeed,"""A song like this just fuels the male gaze while marginalizing the idea of women loving women,"" Kiyoko said.",,,
2,7 Photo Stories That Will Help You See The World A Little Differently,buzzfeed,Here are some of the most interesting and powerful photo stories from across the internet.,,,
3,Cramer: Forget Nvidia's slowing crypto franchise-this best-in-show stock is a buy,cnbc,Jim Cramer reiterates his bullish call on Nvidia after the chipmaking giant's earnings report.,,,
4,Top VC deals: Walmart spends $16 billion on Flipkart and Richard Branson joins a PE firm,cnbc,"A weekly recap of some of the most interesting venture capital deals, funds and start-ups.",,,
8,Rudy Giuliani showed up in court. His client wasn't the President.,cnn,"One day after Rudy Giuliani announced he was leaving his law firm to offer his ""sole concentration"" to President Donald Trump, Giuliani appeared in a Broward County, Florida, courtroom Friday to represent a woman accused in an insurance fraud case.",,,
8,Giuliani's former law firm rejects his defense of Stormy Daniels payment,cnn,"The law firm that Rudy Giuliani formerly worked for, Greenberg Traurig, released a statement on Thursday rejecting his defense of a $130,000 payment that President Donald Trump's longtime personal lawyer Michael Cohen made to adult film actress Stormy Daniels.",,,
5,Giuliani flip-flops on presidential testimony - CNN Video,cnn,"During an interview with ABC News, President Trump's attorney Rudy Giuliani contradicted a statement he made in 1998 stating that a president has to testify if subpoenaed.",,,
8,Giuliani resigns from law firm amid legal work for Trump,cnn,"Rudy Giuliani has resigned from his law firm, Greenberg Traurig, in order to concentrate on his legal work for President Donald Trump during the special counsel investigation into Russian meddling in the 2016 election.",,,
9,Inside the mountain base still on alert to North Korea's missile threat,cnn,"A lot has changed on the Korean peninsula in just matter of months -- threats of fire and fury have been replaced with handshakes and optimism -- but for the military organization that monitors threats to North America, it might as well be 2017 when it comes to North Korea.",,,
5,Senator calls for investigation of Novartis - CNN Video,cnn,"Sen. Ron Wyden (D-OR) is calling for an investigation into pharmaceutical giant Novartis, after it paid President Trump's personal attorney Michael Cohen a total of $1.2 million, according to a source familiar with the matter.",,,
4,Cisco has yanked all its ads from YouTube,cnn,"Cisco, one of America's biggest tech companies, has stopped running ads on YouTube after some of them appeared on channels promoting extremist content.",,,
6,Curry reflects on CP3: 'He was a great mentor',espn,"Steph Curry, as his Warriors prepare to face Chris Paul and the Rockets in the West finals, says his point guard counterpart taught him a lot about preparation early in his career. ""And obviously we got a Carolina connection,"" Curry said.",,,
6,"LeBron not taking playoff run, Celts for granted",espn,"A series win against the Celtics will put LeBron James into his eighth consecutive NBA Finals, a run not lost on the Cavaliers star.",,,
1,"Fox Cancels The Exorcist, Lucifer - IGN",ign,"After axing three comedies yesterday, Fox announced it has canceled two supernatural dramas.",,,
1,Destiny 2: Spire of Stars Ship Destruction (Phase 3) - IGN Video,ign,We take a look at Destin Legarie and his fireteam take on the third phase in the new Spire of Stars Raid Lair in Destiny 2!,,,
1,"Snake Eyes: Paramount, Hasbro Developing G.I. Joe Spinoff Movie - IGN",ign,Beauty and the Beast writer Evan Spiliotopoulos is in talks to write the script.,,,
1,PlayStation Might Not Have New Exclusives This E3 - IGN Daily Fix - IGN Video,ign,"Sony announces E3 plans, Eidos Montreal reveals Shadow of the Tomb Raider budget and Jon Favreau sheds light on his Star Wars show. Please excuse the floating head at the end, @Itsamichael wanted to be in the shoot, but had to edit the video. Also it was Derrick's last day, so wish him well! - Producer Dan",,,
1,Destiny 2: Spire of Stars Jumping Puzzle (Phase 2) - IGN Video,ign,We take a look at Destin Legarie and his fireteam take on the second phase in the new Spire of Stars Raid Lair in Destiny 2!,,,
1,Middle-earth: Shadow of War - The Desolation of Mordor DLC Review - IGN,ign,"Baranor may be mortal, but he's got a brand new bag of tricks.",,,
1,"Solo: A Star Wars Story - ""Enfys Nest"" Clip - IGN Video",ign,Han Solo's bluff blows up in his face.,,,
5,Mueller Asked Ford for Records After It Rejected Michael Cohen Consulting Overture,the-wall-street-journal,"Michael Cohen, who has served as President Donald Trump's personal attorney, made an overture to provide consulting services to Ford Motor Co. in January 2017, but was rebuffed, people familiar with the matter said.",,,
3,"Rising Dollar Pummels Emerging-Market Bonds, Cooling Off a Hot Sector",the-wall-street-journal,"The dollar's rise is squeezing bond markets in developing countries like Argentina, Indonesia and Turkey, gutting what had been a popular trade for investors seeking higher-yielding returns.",,,
9,Trump and Netanyahu Aligned Against Iran as Tensions Soar,the-wall-street-journal,"The Trump and Netanyahu governments are moving in lockstep in defining Iran as a common enemy, setting a combative course as new tensions rise in the region.",,,
2,Carolyn Hax Live: 'NO NOT COMIC SANS!',the-washington-post,Advice Columnist Carolyn Hax takes your questions and tackles your problems.,,,
9,US offers to help rebuild N Korean economy,bbc-news,"America will help the North if it gives up nuclear arms, the top US diplomat says ahead of a summit.",,,
6,Challenge Cup: Leigh Centurions 22-10 Salford Red Devils,bbc-sport,Championship side Leigh shock Super League club Salford Red Devils to reach the Challenge Cup quarter-finals.,,,
7,NASA Is Preparing to Fly a Helicopter on Mars,bloomberg,NASA is working toward a future when humans will walk on the surface of Mars. But first it's going to try flying a drone through the air.,,,
4,Tesla Engineering Chief Takes Break After Musk Brushed Him Aside,bloomberg,"Tesla Inc.'s engineering chief is taking a break from the company, weeks after Elon Musk took over production responsibilities during the rocky ramping up of the Model 3 sedan.",,,
3,"Harvard Endowment Goes All-In on Apple, Microsoft and Google",bloomberg,Harvard is betting big on a rally in tech megacaps.,,,
8,"Top nuclear expert leaves State Department after Trump withdraws from Iran deal, which is part of a troubling trend at the agency",business-insider,One of the State Department's top nuclear experts resigned this week after President Donald Trump made the controversial decision to withdraw the US government,,,
1,"John Stamos Introduced His New Baby To His ""Full House"" Besties And I'm Squealing",buzzfeed,"Have mercy, baby Billy is wearing a Jesse and the Rippers onesie!",,,
1,Rihanna's Leg Hair Is Getting People Talking In The Best Way Possible,buzzfeed,I'm hair for it.,,,
2,Upgrade These Foods And We'll Guess Your Age And Dream Job,buzzfeed,You are what you eat.,,,
1,"16 Times ""Full House"" Got Dramatic As All Heck",buzzfeed,"The show wasn't always just ""You got it, Dude.""",,,
1,"12 Celebrities Who Are Just As Furious About The ""Brooklyn Nine-Nine"" Cancellation As You Are",buzzfeed,NINE-NINE!,,,
8,The Suspected Golden State Killer Witnessed Two Men Rape His Sister. It May Have Fueled His Rampage.,buzzfeed,"""Maybe that was the start of Joe going wacko,"" said a nephew of Joseph DeAngelo, the man suspected of being the prolific killer.",,,
3,Cramer Remix: The most beaten-down group in the entire market,cnbc,Jim Cramer dishes on the stock of Campbell Soup and its fate in the underperforming food sector.,,,
8,US Navy SEAL leaders suspended over alleged sexual misconduct,cnn,"The commander and the senior enlisted adviser of a US Navy SEAL Team deployed to Africa have been relieved of their duties and sent home due to sexual misconduct allegations regarding multiple fellow US military female service members, a US defense official tells CNN.",,,
4,Ford could resume F-150 production as early as next week,cnn,The company told employees that they should expect to return to work on Friday.,,,
5,"Democratic House candidate in Pennsylvania deletes tweets blasting progressives, praising Trump",cnn,"A Democrat running for a US House seat in Pennsylvania offered praise for then-President-elect Donald Trump, called on Chicago Mayor Rahm Emanuel to resign and said progressives ""are the least tolerant of anyone who disagrees with them"" in a series of now-deleted tweets.",,,
6,Hawks tap 76ers assistant Pierce as head coach,espn,"The Hawks have hired Philadelphia's Lloyd Pierce as head coach, tapping an NBA veteran with 11 years of experience as an assistant coach.",,,
1,Who Cares About Retro Games? - IGN Video,ign,One Game Scoop! fan doesn't get why anyone would want to play old games.,,,
1,Blow the Man Down - Pillars of Eternity 2: Deadfire Wiki Guide - IGN,ign,Blow the Man Down - Pillars of Eternity 2: Deadfire: Blow the Man Down is one of the Principi quests found in Pillars of Eternity II: Deadfire. This quest begins as soon as you get your boat back. While...,,,
1,Deadpool's 17 Craziest Comic Book Stories - IGN,ign,Get primed for Deadpool 2 by reading the wackiest Deadpool comics ever published.,,,
1,Avengers: Infinity War Deleted and Changed Scenes From Trailers to Final Movie - IGN Video,ign,"The trailers for Avengers: Infinity War promised one heck of a movie... including a lot of footage that didn't end up in the final cut. We take a look at the scenes from the trailers that didn't make it into, were changed or had altered dialogue in the final version of the Marvel film.",,,
1,BlazBlue Cross Tag Battle: All Unique Character Intro Easter Eggs - IGN Video,ign,Putting together specific teams in BlazBlue Cross Tag Battle leads to some amusing unique interactions between characters! Here are all the ones we could find. Let us know if we missed any!,,,
4,6 Takeaways From Trump's Plans to Try to Lower Drug Prices,the-new-york-times,"The drug industry won some key victories, even if it did not escape entirely unscathed.",,,
5,White House Refuses to Apologize for Aide's Joke About McCain,the-new-york-times,"Friends and admirers of Senator John McCain condemned an assistant to President Trump who said the senator did not matter because ""he's dying anyway.""",,,
4,Tesla's Engineering Chief Takes Leave of Absence at Pivotal Moment,the-wall-street-journal,"Tesla top engineer overseeing vehicle development is taking a leave of absence from the company at a crucial moment when the electric-car maker is struggling to boost production of the Model 3 sedan, according to people familiar with the matter.",,,
5,"Speaking out on torture and a Trump nominee, ailing McCain roils Washington",the-washington-post,"The six-term Arizona senator showed this week that despite brain cancer, he remains a potent force in national politics and a polarizing figure within the Republican Party.",,,
6,"Hall of Fame pitcher Jim Palmer long wondered if he's related to JFK. At 72, he learned the truth.",the-washington-post,"Adopted in 1945 and raised in privilege, Palmer never thought too hard about his origins during his legendary MLB career. But his wife's curiosity led to a discovery.",,,
5,Trump uses rallies to tell his supporters to vote for him - even if other names are on the ballot,the-washington-post,"The president is revving up voters for midterm elections, but his pitch has little to do with the candidates he's endorsing. His presidency is under attack, he tells thousands of fans, and the only way to protect him and his agenda is to elect Republicans.",,,
8,Volcanic activity threatens Hawaii geothermal plant long at center of resident concerns,the-washington-post,"Kilauea's fissures and lava flow, plus earthquakes, lead to emergency removal of dangerous gasses, but residents worry plant could explode as instability continues.",,,
4,AT&T CEO: Hiring Cohen as a consultant was a 'big mistake',the-washington-post,"In a companywide email, Randall Stephenson also announced that the firm's top lobbying executive in Washington would be leaving.",,,
8,Analysis | How John Kelly's family history compares with the immigrants he wants to keep from entering,the-washington-post,A brief history of Kelly's family.,,,
4,Why Starbucks faces toilet trouble,bbc-news,The US chain is giving access to all after a race row but that could open the door to other issues.,,,
9,Hawking service open to time travellers,bbc-news,Anyone born in the next 20 years is eligible to apply for a seat at the Westminster Abbey service.,,,
9,Iraq votes in first poll since IS defeat,bbc-news,"Some 7,000 candidates from rival coalition blocs are vying for seats in the 329-member parliament.",,,
9,Watch: World Series Triathlon - Yokohama,bbc-sport,"The World Series Triathlon continues in Yokohama, Japan - watch live BBC Sport coverage.",,,
4,Stormy Daniels' lawyer dropped a cryptic hint about 'large sums of money' he claims flowed out of a Michael Cohen-linked shell company that received millions of dollars after Trump's election,business-insider,The lawyer who represents Stormy Daniels and who published documents this week showing that a shell company linked to President Donald Trump's personal attorney,,,
2,17 Tweets That Are So Funny And True It Almost Hurts,buzzfeed,"""why is being alive so expensive. im not even having a good time""",,,
8,Hawaii Is Preparing For Worst-Case Scenarios If The Volcano's Crater Explodes,buzzfeed,"Lava can't be stopped, so the best thing to do is just get out of the way.",,,
2,"Ladies, This Is The Hardest Game Of ""Would You Rather"" That You'll Ever Play",buzzfeed,"Would you rather wear the same thong for a month, or...",,,
4,"Tesla says top vehicle engineer Doug Field is ""taking time off"" amid Model 3 production struggles",cnbc,"Tesla's senior vice president of engineering, Doug Field, is leaving the company for an unspecified time.",,,
9,"There will be no trade war with Germany, new US ambassador promises",cnbc,"""Germans are doing a phenomenal job on trade,"" U.S. ambassador to Germany Richard Grenell said. ""There will be no trade war ... We are talking with our friends to solve a problem.""",,,
9,The surprise coalition of Trump critics supporting the Kim Jong Un meeting,cnn,"Most Americans who disapprove of President Donald Trump overall tend to disapprove of how Trump is handling just about every issue. That is, except for his upcoming meeting with North Korean leader Kim Jong Un, according to the latest CNN poll.",,,
9,Breaking down Trump's decision to leave the Iran deal - CNN Video,cnn,President Donald Trump announced that the US would withdraw from the Iran nuclear deal. CNN analysts breakdown why that matters.,,,
9,Trump announces North Korea summit will be in Singapore,cnn,"President Donald Trump will meet with North Korean leader Kim Jong Un on June 12 in Singapore, the US president announced Thursday on Twitter.",,,
9,Trump: These are 3 incredible people - CNN Video,cnn,President Donald Trump and First Lady Melania Trump greet three Americans returning to the US after they were detained in North Korea.,,,
8,US stealth fighters intercept Russian bombers off the coast of Alaska,cnn,"Two Russian TU-95 ""Bear"" bombers were intercepted by US F-22 stealth fighters in international airspace off the coast of Alaska on Friday, according to North American Aerospace Defense Command.",,,
5,Giuliani says 'the president denied' AT&T-Time Warner deal approval,cnn,Rudy Giuliani just contradicted the White House and the Justice Department on a very sensitive subject: The AT&T-Time Warner deal.,,,
5,Who's really to blame for horrible McCain 'joke',cnn,"The coarsening of our political discourse cannot be pinned only on Donald Trump, but it is he who has given insulting rhetoric his imprimatur -- in many instances demonstrating himself just how it's done -- which explains why an official like Sadler might not think twice about these kinds of remarks, writes Julian Zelizer.",,,
6,"Chargers' Lynn finishes degree, to walk at UNLV",espn,"Chargers head coach Anthony Lynn will miss the final two days of rookie minicamp this weekend to attend UNLV's commencement ceremony, where he'll receive his bachelor's degree in interdisciplinary studies.",,,
6,Rockets owner's casino paying out Warriors bets,espn,The Golden Nugget casino -- owned by Rockets owner Tilman Fertitta -- is already paying out bets on the Warriors even though the West finals haven't started.,,,
1,ABC Officially Cancels Marvel's Inhumans - IGN,ign,"After just eight episodes, the comic book-inspired TV series has been canceled.",,,
1,50v50 V2 Tips and Tricks - Fortnite Wiki Guide - IGN,ign,50v50 V2 Tips and Tricks - Fortnite: Fortnite Battle Royale's 50v50 limited time mode is back for Version 2 and you'll find helpful tips and strategies to get started in 50v50 V2. This s...,,,
1,17 Shows Canceled By Networks This Week - IGN,ign,Here are 17 shows that networks chose not to bring back for more seasons.,,,
1,How [Spoiler] Was Brought Back in Avengers: Infinity War - IGN,ign,"A classic Marvel character made their return in Avengers: Infinity War, though not under the circumstances that many would've expected.",,,
1,Best Sci Fi Movies on Netflix Right Now (May 2018) - IGN,ign,"Sci fi fans have a lot to discover on Netflix, from all-time classics to underrated gems, from ultraviolent thrillers to family friendly flicks. These are the best sci fi movies on Netflix Streaming right now.",,,
5,Giuliani Says Cohen Never Spoke With Trump About His Big-Dollar Clients,the-huffington-post,The president's new lead lawyer sees this as proof Trump is draining the swamp.,,,
5,Meghan McCain Takes A Swipe At White House After Aide Mocks Her Father's Cancer,the-huffington-post,"""It doesn't matter. He's dying anyway,"" Kelly Sadler said of Sen. John McCain, who is at odds with the president over his CIA nominee.",,,
5,Congressional Candidate Says 'F**k The NRA' In New TV Ad,the-huffington-post,"""Their pro-gun policies have resulted in dead children, dead mothers and dead fathers,"" says Democratic congressional candidate Pat Davis.",,,
1,"'Fox & Friends' Host Mocks NY Times' ISIS Coverage, Unaware It Beat Fox To The Story",the-huffington-post,Whoops.,,,
5,Joe Biden Berates White House Over 'Joke' About John McCain's Health,the-huffington-post,"""People have wondered when decency would hit rock bottom with this administration. It happened yesterday,"" the former vice president said.",,,
1,Monica Lewinsky: What We All Can Learn from My Disinvitation Debacle,the-huffington-post,What seemed like a social gaffe actually said a lot about our attitudes toward power-and who deserves it.,,,
5,"Katie Porter Survived Domestic Abuse, Only To Have It Used Against Her In Her Campaign",the-huffington-post,A nasty primary race has made the congressional candidate tell the difficult story of escaping her violent ex-husband.,,,
8,We Need To Talk About White People Calling The Cops On People Of Color,the-huffington-post,Too often white people call the police on people of color when it is unwarranted - and such calls can end in undue violence.,,,
8,Trump Tirade Is Culmination of Immigration Frustration,the-new-york-times,Trump's fury at his homeland security secretary was part of his belief that the administration is moving too slowly to make good on his 2016 campaign promises.,,,
8,Federal Prisons Roll Back Rules Protecting Transgender People,the-new-york-times,The statistics arm of the Justice Department has also proposed that it stop collecting data about sexual orientation and gender identity from participants in a crime survey.,,,
8,"Trump, Softening His Tone, Calls for More Talks on Car Emissions",the-new-york-times,The president has directed his administration to negotiate with California over a proposed rollback of fuel economy and tailpipe emissions standards.,,,
4,Trump Targets Foreign Auto Makers for Not Building Enough in U.S.,the-wall-street-journal,"President Donald Trump proposed to executives from the world's biggest auto makers imposing a 20% tariff on vehicles brought into the U.S. and also subjecting imports to tougher emissions standards than domestic vehicles, according to people familiar with the session.",,,
5,"Midwestern voters gave Trump a chance. Now, they hold the key to his political future.",the-washington-post,"The Midwest swung hard to the Republican nominee. Now, 16 months later, some voters remain all in, while others have grown weary of the chaos.",,,
8,Trump said Amazon cost the USPS 'billions.' But the Post Office has a different explanation.,the-washington-post,President Trump made waves in March when he declared that the Postal Service was losing money on every package it delivered for Amazon. But the release of its second quarter results paints a much more complicated picture.,,,
6,Harvey impresses in four innings of Reds debut,espn,Matt Harvey needed only 55 pitches to record 12 outs in his Reds debut Friday night in L.A. He reached a season-high velocity of 95.8 mph.,,,
8,"Ted Cruz Staff, USAID Met With Group That Called Apartheid A 'So-Called' Injustice",the-huffington-post,"Leaders of AfriForum, an Afrikaner rights group, also posed for a picture with national security adviser John Bolton.",,,
8,John McCain: 'Vladimir Putin Is an Evil Man',the-wall-street-journal,"In an excerpt from his new memoir, Sen. McCain discusses his longstanding opposition to the Russian strongman-and his own role in receiving 'the Steele dossier' about Donald Trump.",,,
9,NK to break up nuclear site in May ceremony,bbc-news,"Pyongyang invites foreign media to witness the process scheduled for 23-25 May, state media reports.",,,
9,Family 'stunned' by Australia shooting,bbc-news,Police confirm they are not looking for anyone else over the killing of seven family members.,,,
9,Ex-PM Najib banned from leaving Malaysia,bbc-news,"Former Malaysian Prime Minister Najib Razak is banned from leaving the country, immigration officials say.",,,
9,Round-the-world cyclists murdered,bbc-news,Local officials originally said the European pair lost control of their bikes and fell off a cliff.,,,
7,Nasa to send helicopter to Mars,bbc-news,The US space agency says it will be the first test of a heavier-than-air aircraft on another planet.,,,
9,Deadly US decisions before Niger ambush,bbc-news,The Pentagon has detailed months of decisions that led to a deadly ambush in Niger in 2017.,,,
1,R Kelly defiant on stage amid protests,bbc-news,"The R&B singer, who denies sexual misconduct, declines to tone down his act in North Carolina.",,,
9,Berlusconi ban on holding office lifted,bbc-news,The former prime minister had been barred from holding public office after being sentenced for tax fraud.,,,
9,No charges for man caught in data breach,bbc-news,"The man's home was raided after he downloaded 7,000 files the government accidentally made public.",,,
6,Scottish Premiership bottom six finale,bbc-sport,Ross County and Partick Thistle fight to avoid the drop from the Scottish Premiership while Hamilton visit Lanarkshire rivals Motherwell.,,,
6,Champions Cup final: No Carter for Racing v Leinster,bbc-sport,Live 5 live radio commentary and live text updates as three-time champions Leinster take on French big-spenders Racing 92 in Bilbao.,,,
6,Lewis Hamilton on Spanish GP pole for Mercedes front row,bbc-sport,Lewis Hamilton takes pole position for the Spanish Grand Prix ahead of team-mate Valtteri Bottas.,,,
6,Giro d'Italia: Simon Yates retains overall lead as Ecuador's Richard Carapaz wins stage,bbc-sport,Britain's Simon Yates continues to hold the overall lead as Ecuador's Richard Carapaz wins stage eight of the Giro d'Italia.,,,
6,Championship play-offs: Middlesbrough v Aston Villa,bbc-sport,Middlesbrough host Aston Villa in the first leg of their Championship play-off semi-final - follow live text coverage.,,,
6,County Championship - Pope resumes 131 not out,bbc-sport,"Follow live text, images and debate from day two from the latest round of County Championship fixtures.",,,
6,Shanghai Diamond League: Reece Prescod wins 100m with Justin Gatlin seventh,bbc-sport,Britain's Reece Prescod beats world champion Justin Gatlin to seal a shock 100m victory at the Shanghai Diamond League.,,,
6,50 Great World Cup moments: Louis van Gaal's inspired goalkeeping substitution,bbc-sport,BBC Sport looks back on Louis van Gaal's inspired goalkeeping substitution just before the Netherlands' penalty shootout with Costa Rica in their 2014 World Cup quarter-final.,,,
6,Mikel Arteta: Ex-Arsenal midfielder one of options to replace Arsene Wenger,bbc-sport,Manchester City assistant coach Mikel Arteta is one of a number of options being considered by Arsenal as their new manager.,,,
6,Challenge Cup: Castleford Tigers 18-36 St Helens,bbc-sport,Ben Barba sends Super League leaders St Helens into the Challenge Cup quarter-finals with a hat-trick of tries at Castleford.,,,
9,Canada and Mexico Downplay Urgency to Reach Nafta Deal Next Week,bloomberg,"Lead Nafta negotiators from Canada and Mexico signaled they were in no rush to strike a deal on the trade pact by mid-May, saying instead that talks are progressing well with a series of challenges remaining after a week of high-level discussions in Washington.",,,
9,North Korea Sets Date for Shutting Down Its Nuclear Test Site,bloomberg,North Korea has set the date to begin shutting down a major nuclear test site as it continues to pursue improved relations with the world.,,,
9,Malaysia's Mahathir Says Enough Evidence to Reopen 1MDB Probe,bloomberg,"Malaysian Prime Minister Mahathir Mohamad said Saturday there was enough evidence to reopen a probe into a multi-billion dollar scandal at a state fund, as his predecessor Najib Razak was slapped with a ban on leaving the country.",,,
9,Merkel Says U.S. Exit From Iran Accord Has Increased Tensions,bloomberg,German Chancellor Angela Merkel said Donald Trump's decision to withdraw from the Iran nuclear deal has increased tensions in the Middle East.,,,
9,Canada Sheds Jobs Even as Wages Rise at Fastest Pace Since 2012,bloomberg,"Canada failed to generate any new jobs in April, but the unemployment rate stayed at the lowest in four decades and wages accelerated to signal a tight labor market.",,,
3,Marc Anthony Cosmetics Hires Advisers for Canadian IPO,bloomberg,"Marc Anthony Cosmetics, founded by its namesake celebrity hair stylist more than two decades ago, has hired advisers to run an initial public offering aimed at raising as much as C$250 million ($196 million), according to people familiar with the matter.",,,
9,Canada's Last Farm Commodity Exchange Is Shutting Down,bloomberg,Canada's oldest -- and only -- agricultural commodity exchange is closing its doors.,,,
8,Graduates: Here's an Honor Code for Life,bloomberg,"Amid a national epidemic of dishonesty, acting with integrity is more important than ever.",,,
2,"Ritholtz's Reads: Crashing Bonds, Van Dyck and the Iceman",bloomberg,Here are your long-form weekend reads.,,,
5,How Michael Cohen went from the butt of a joke on CNN to 'crushing it' after Trump's shocking win,business-insider,"President Donald Trump's longtime lawyer Michael Cohen was iced out of any job in the president's administration following his surprise win in 2016. So, Cohen q",,,
4,Elon Musk's fame used to be a huge advantage for Tesla - but now it's becoming a problem,business-insider,Tesla CEO Elon Musk is a rare thing in the car business: a celebrity and a leader. His celebrity has definitely helped fuel Tesla's rise. But of late it's begun,,,
4,Rudy Giuliani walks back explosive claim that Trump intervened in the Time Warner-AT&T merger,business-insider,"Rudy Giuliani, President Donald Trump's lead defense attorney, on Saturday walked back his earlier admission to HuffPost that Trump intervened in the Time Warne",,,
5,Here's why you shouldn't assume Trump is guilty if he takes the Fifth,business-insider,"Business Insider's Josh Barro and criminal defense attorney Ken White discuss the rationale for the Fifth Amendment right against self-incrimination, and why yo",,,
3,An inside look at how Wall Street's best stock picker fine-tunes his team to perfection - from personality tests to reading networks,business-insider,"BI PRIME: Dennis Lynch, head of growth investing at Morgan Stanley Investment Management, was the top large-cap portfolio manager of 2017, and his funds have be",,,
4,A Nobel Prize-winning economist explains what Milton Friedman got wrong,business-insider,"In this interview, Oliver Hart discusses his most recent paper ""Companies Should Maximize Shareholder Welfare Not Market Value."" Hart says that profit maximizat",,,
4,Rudy Giuliani appears to suggest Trump personally tried to kill the AT&T-Time Warner merger,business-insider,It was not clear whether Rudy Giuliani was saying emphatically that Trump personally stepped in to kill the deal. The telecom giant and the government have been,,,
4,Leaked memo reveals Whole Foods is slowly moving its most important technology into Amazon's cloud,business-insider,"It's been nine months since Amazon closed on its deal to acquire Whole Foods and, as you might expect, the grocery chain is working on moving its information te",,,
4,Toys R Us execs are leaving the company before all of its stores close in a 'very unusual' move,business-insider,Toys R Us executives and most of its employees are leaving their jobs on Monday as the retailer holds clearance sales at its still-open stores. Toys R Us filed,,,
1,Meghan Markle's Outfits Are Being Recreated By A Size 12 Blogger,buzzfeed,Here's how we can look like Meghan Markle without being Meghan Markle.,,,
2,26 Hilarious Tweets Written By Women This Week,buzzfeed,"""Diets are all fun and games until it's time to eat.""",,,
2,People Are Loving The Way Rihanna Responded To A Reporter's Question About The Royal Wedding,buzzfeed,"""You think you're coming to my wedding?""",,,
2,We Can Guess How You'd Spend A Day In Ottawa Based On The Pic You'd Post,buzzfeed,Not that you'd post just one.,,,
2,Buy 10 Ridiculously Priced Items And We'll Reveal Which Royal Baby You Are,buzzfeed,True royalty!,,,
2,17 Hilarious Tweets About Dating That'll Make You Cry-Laugh,buzzfeed,"""Single for so long that you start taking ya own self on dates.""",,,
